Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,Wilderness_Area,Soil_Type
2596.0,51,3,258.0,0,510,221.0,232,148,6279,Aspen,1,29
2590.0,56,2,212.0,-6,390,220.0,235,151,6225,Aspen,1,29
2804.0,139,9,268.0,65,3180,234.0,238,135,6121,Lodgepole Pine,1,12
2785.0,155,18,242.0,117,3090,238.0,238,122,6211,Lodgepole Pine,1,30
2595.0,45,2,153.0,-1,391,220.0,234,150,6172,Aspen,1,29
2579.0,132,6,300.0,-15,67,230.0,237,140,6031,Lodgepole Pine,1,29
2606.0,45,7,270.0,5,633,222.0,225,138,6256,Aspen,1,29
2605.0,49,4,234.0,7,573,222.0,230,144,6228,Aspen,1,29
2617.0,45,9,240.0,56,666,223.0,221,133,6244,Aspen,1,29
2612.0,59,10,247.0,11,636,228.0,219,124,6230,Aspen,1,29
2612.0,201,4,180.0,51,735,218.0,243,161,6222,Aspen,1,18
2886.0,151,11,371.0,26,5253,234.0,240,136,4051,Lodgepole Pine,1,30
2742.0,134,22,150.0,69,3215,248.0,224,92,6091,Lodgepole Pine,1,30
2609.0,214,7,150.0,46,771,213.0,247,170,6211,Aspen,1,18
2503.0,157,4,67.0,4,674,224.0,240,151,5600,Aspen,1,18
2495.0,51,7,42.0,2,752,224.0,225,137,5576,Aspen,1,16
2610.0,259,1,120.0,-1,607,216.0,239,161,6096,Aspen,1,29
2517.0,72,7,85.0,6,595,228.0,227,133,5607,Aspen,1,18
2504.0,0,4,95.0,5,691,214.0,232,156,5572,Aspen,1,18
2503.0,38,5,85.0,10,741,220.0,228,144,5555,Aspen,1,18
2501.0,71,9,60.0,8,767,230.0,223,126,5547,Aspen,1,18
2880.0,209,17,216.0,30,4986,206.0,253,179,4323,Lodgepole Pine,1,30
2768.0,114,23,192.0,82,3339,252.0,209,71,5972,Aspen,1,30
2511.0,54,8,124.0,0,638,225.0,222,130,5569,Aspen,1,18
2507.0,22,9,120.0,14,732,215.0,221,143,5534,Aspen,1,18
2492.0,135,6,0.0,0,860,229.0,237,142,5494,Aspen,1,18
2489.0,163,10,30.0,-4,849,230.0,243,145,5486,Aspen,1,18
2962.0,148,16,323.0,23,5916,240.0,236,120,3395,Lodgepole Pine,1,29
2811.0,135,1,212.0,30,3670,220.0,238,154,5643,Lodgepole Pine,1,12
2739.0,117,24,127.0,53,3281,253.0,210,71,6033,Aspen,1,30
2703.0,122,27,67.0,27,3191,254.0,201,64,6123,Aspen,1,30
2522.0,105,7,120.0,1,595,233.0,231,130,5569,Aspen,1,18
2519.0,102,6,124.0,4,616,230.0,233,137,5559,Aspen,1,18
2516.0,23,6,150.0,4,658,216.0,227,147,5541,Aspen,1,18
2515.0,41,9,162.0,4,680,221.0,220,133,5532,Aspen,1,18
2900.0,45,19,242.0,20,5199,221.0,195,100,4115,Lodgepole Pine,1,29
2709.0,125,27,67.0,23,3224,253.0,207,64,6094,Aspen,1,30
2511.0,92,7,182.0,18,722,231.0,229,131,5494,Aspen,1,18
2749.0,98,27,124.0,53,3316,252.0,186,64,6005,Aspen,1,30
2686.0,354,12,0.0,0,3167,200.0,219,157,6155,Aspen,1,30
2699.0,347,3,0.0,0,2096,213.0,234,159,6853,Spruce/Fir,1,20
2570.0,346,2,0.0,0,331,215.0,235,158,5745,Lodgepole Pine,1,29
2533.0,71,9,150.0,-3,577,230.0,223,126,5552,Aspen,1,18
2703.0,330,27,30.0,17,3141,169.5,197,184,6186,Aspen,1,16
2678.0,128,5,95.0,23,1660,229.0,236,141,6546,Lodgepole Pine,1,12
2529.0,68,8,210.0,-5,666,228.0,225,130,5484,Aspen,1,18
2524.0,94,7,212.0,-4,684,232.0,229,130,5474,Aspen,1,18
2536.0,99,6,234.0,0,659,230.0,232,136,5475,Aspen,1,18
2498.0,66,6,95.0,7,900,227.0,227,135,5357,Aspen,1,18
2489.0,100,7,85.0,13,810,232.0,231,131,5334,Aspen,1,18
2713.0,117,27,60.0,17,3297,254.0,198,64,6039,Aspen,1,30
2739.0,323,25,85.0,43,3118,169.5,205,192,6219,Spruce/Fir,1,29
2696.0,72,2,30.0,0,3271,222.0,234,149,6071,Spruce/Fir,1,30
2510.0,79,14,192.0,19,891,237.0,215,106,5325,Aspen,1,18
2502.0,81,7,175.0,11,912,230.0,227,129,5316,Aspen,1,18
2722.0,315,24,30.0,19,3216,169.5,212,200,6132,Spruce/Fir,1,16
2500.0,74,11,190.0,9,930,233.0,219,116,5279,Aspen,1,18
2486.0,68,5,180.0,-4,870,225.0,230,139,5262,Aspen,1,18
2489.0,11,4,175.0,13,840,216.0,232,153,5254,Aspen,1,18
