Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Hillshade_diff_9am_3pm,Hillshade_mean,Elevation_Slope,Hydrology_Distance_Mag,Road_Fire_Distance_Ratio,Cover_Type
2596.0,51,3,258.0,0,510,221.0,232,148,6279,1,29,73.0,200.33333333333334,7788.0,258.0,0.08121019108280254,0
2590.0,56,2,212.0,-6,390,220.0,235,151,6225,1,29,69.0,202.0,5180.0,212.08488866489287,0.06264053967234179,0
2804.0,139,9,268.0,65,3180,234.0,238,135,6121,1,12,99.0,202.33333333333334,25236.0,275.7698315624826,0.519438092126756,4
2785.0,155,18,242.0,117,3090,238.0,238,122,6211,1,30,116.0,199.33333333333334,50130.0,268.799181546373,0.4974243399871217,4
2595.0,45,2,153.0,-1,391,220.0,234,150,6172,1,29,70.0,201.33333333333334,5190.0,153.00326793895613,0.06334035315081808,0
2579.0,132,6,300.0,-15,67,230.0,237,140,6031,1,29,90.0,202.33333333333334,15474.0,300.3747659175118,0.011107427055702918,4
2606.0,45,7,270.0,5,633,222.0,225,138,6256,1,29,84.0,195.0,18242.0,270.04629232781554,0.10116669330350007,0
2605.0,49,4,234.0,7,573,222.0,230,144,6228,1,29,78.0,198.66666666666666,10420.0,234.10467744152402,0.09198908331995505,0
2617.0,45,9,240.0,56,666,223.0,221,133,6244,1,29,90.0,192.33333333333334,23553.0,246.4467488119898,0.1066453162530024,0
2612.0,59,10,247.0,11,636,228.0,219,124,6230,1,29,104.0,190.33333333333334,26120.0,247.24481794367298,0.10207029369282619,0
2612.0,201,4,180.0,51,735,218.0,243,161,6222,1,18,57.0,207.33333333333334,10448.0,187.0855419320264,0.11811023622047244,0
2886.0,151,11,371.0,26,5253,234.0,240,136,4051,1,30,98.0,203.33333333333334,31746.0,371.9099353338117,1.2963968410661402,4
2742.0,134,22,150.0,69,3215,248.0,224,92,6091,1,30,156.0,188.0,60324.0,165.10905486980417,0.5277413000656599,4
2609.0,214,7,150.0,46,771,213.0,247,170,6211,1,18,43.0,210.0,18263.0,156.8948692596415,0.12411461687057308,0
2503.0,157,4,67.0,4,674,224.0,240,151,5600,1,18,73.0,205.0,10012.0,67.11929677819934,0.12033565434743795,0
2495.0,51,7,42.0,2,752,224.0,225,137,5576,1,16,87.0,195.33333333333334,17465.0,42.04759208325728,0.13483951945490408,0
2610.0,259,1,120.0,-1,607,216.0,239,161,6096,1,29,55.0,205.33333333333334,2610.0,120.00416659433121,0.0995571592586518,0
2517.0,72,7,85.0,6,595,228.0,227,133,5607,1,18,95.0,196.0,17619.0,85.21150157109074,0.1060984308131241,0
2504.0,0,4,95.0,5,691,214.0,232,156,5572,1,18,58.0,200.66666666666666,10016.0,95.13148795220224,0.12399066929840301,0
2503.0,38,5,85.0,10,741,220.0,228,144,5555,1,18,76.0,197.33333333333334,12515.0,85.58621384311844,0.13336933045356372,0
2501.0,71,9,60.0,8,767,230.0,223,126,5547,1,18,104.0,193.0,22509.0,60.530983801686226,0.1382480173035328,0
2880.0,209,17,216.0,30,4986,206.0,253,179,4323,1,30,27.0,212.66666666666666,48960.0,218.07338214463496,1.1530989824236817,4
2768.0,114,23,192.0,82,3339,252.0,209,71,5972,1,30,181.0,177.33333333333334,63664.0,208.7773934122179,0.5590155700652938,0
2511.0,54,8,124.0,0,638,225.0,222,130,5569,1,18,95.0,192.33333333333334,20088.0,124.0,0.11454219030520646,0
2507.0,22,9,120.0,14,732,215.0,221,143,5534,1,18,72.0,193.0,22563.0,120.81390648431164,0.13224932249322494,0
2492.0,135,6,0.0,0,860,229.0,237,142,5494,1,18,87.0,202.66666666666666,14952.0,0.0,0.1565059144676979,0
2489.0,163,10,30.0,-4,849,230.0,243,145,5486,1,18,85.0,206.0,24890.0,30.265491900843113,0.15472936030617823,0
2962.0,148,16,323.0,23,5916,240.0,236,120,3395,1,29,120.0,198.66666666666666,47392.0,323.81785003300854,1.7420494699646643,4
2811.0,135,1,212.0,30,3670,220.0,238,154,5643,1,12,66.0,204.0,2811.0,214.11212016137713,0.6502480510276399,4
2739.0,117,24,127.0,53,3281,253.0,210,71,6033,1,30,182.0,178.0,65736.0,137.6154061142865,0.543752071594299,0
2703.0,122,27,67.0,27,3191,254.0,201,64,6123,1,30,190.0,173.0,72981.0,72.2357252334328,0.52106466361855,0
2522.0,105,7,120.0,1,595,233.0,231,130,5569,1,18,103.0,198.0,17654.0,120.00416659433121,0.10682226211849193,0
2519.0,102,6,124.0,4,616,230.0,233,137,5559,1,18,93.0,200.0,15114.0,124.06449935416659,0.11079136690647481,0
2516.0,23,6,150.0,4,658,216.0,227,147,5541,1,18,69.0,196.66666666666666,15096.0,150.05332385522155,0.11872970046914472,0
2515.0,41,9,162.0,4,680,221.0,220,133,5532,1,18,88.0,191.33333333333334,22635.0,162.04937519163718,0.12289896981745889,0
2900.0,45,19,242.0,20,5199,221.0,195,100,4115,1,29,121.0,172.0,55100.0,242.82503989498284,1.2631195335276968,4
2709.0,125,27,67.0,23,3224,253.0,207,64,6094,1,30,189.0,174.66666666666666,73143.0,70.83784299369935,0.5289581624282198,0
2511.0,92,7,182.0,18,722,231.0,229,131,5494,1,18,100.0,197.0,17577.0,182.8879438344693,0.1313921747042766,0
2749.0,98,27,124.0,53,3316,252.0,186,64,6005,1,30,188.0,167.33333333333334,74223.0,134.8517704741024,0.5521145521145521,0
2686.0,354,12,0.0,0,3167,200.0,219,157,6155,1,30,43.0,192.0,32232.0,0.0,0.5144574398960364,0
